Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Leave,Auto_Speaker,Auto_Amp,Tele_Speaker,Tele_Amp,Tele_Amped_Speaker,Tele_Coop,Endgame_Parked,Endgame_OnStage,Endgame_Harmony,Endgame_Spotlit,Endgame_Trap,Auto_Points,Tele_Points,Endgame_Points,ScoutScore
,15c6ab1f-f337-41b2-a5c8-9bb70083de9d,5422,25,Chase,,1.00,3.00,0.00,7.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,17.00,14.00,3.00,0.00
,b0795626-df2d-4c51-a72a-41572fd5082f,5422,32,CHASE,,1.00,2.00,0.00,10.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,12.00,21.00,3.00,0.00
,9c8f9905-5497-4c6c-8500-404e13923398,5422,40,Zander,That was pretty decent,0.00,1.00,0.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,8.00,1.00,0.00
,7b2022e2-4ddf-47ec-b9cc-53f1443a2c18,5422,44,Nicholas,,1.00,2.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,9.00,0.00,0.00
,216eddf0-dfbe-44bc-b692-2fca24593bac,5422,48,logan,,1.00,1.00,0.00,1.00,4.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,7.00,6.00,3.00,0.00
,0a1bfdb1-86f4-4ba1-9afb-bb5acc57c9d8,5459,3,Chase,Was not there.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,990ec6cd-69ce-42f0-92ab-190e4cb1be1e,5459,9,rackel,No robot :(,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,527eb4ae-d124-4e6d-ac5a-7c70ff2f4cce,5459,16,Jean,lost connection and sat next to speaker the entire match.,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00
,be62c2bb-934c-48a0-bf3c-b5754c7d34d4,5459,20,logan,,1.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,10.00,3.00,0.00
,10f8b53a-956d-4e78-ab3c-77b0d362b193,5459,24,Anton,Auto = 4. Speed = 4. Stability = 5. Can hang on chain. ,1.00,2.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,7.00,0.00,13.00
,685b442f-75ac-4e66-9ea5-13cbf07ec8c0,5459,33,Chase,Broke down. ,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00
,5a9a8366-77ec-4255-8a0e-3855e35a4250,5459,37,Chase,,0.00,0.00,0.00,0.00,5.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00,0.00
,71d2d839-6075-4616-ba2f-9d63dfdf1caa,5459,42,Anton,Speed = 4. Stability = 5. Accuracy = 4. ,1.00,1.00,0.00,3.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,7.00,1.00,13.00
,37b25edc-8e52-4555-bc8f-1f9f17083958,5459,48,Jean,,1.00,1.00,0.00,2.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,7.00,6.00,1.00,0.00
,38fc668c-cefe-444a-8ae9-257394b3cb2d,5494,4,Nicholas,Tank. can do speaker and amp. quick cycles. can't go under stage. didn't climb.,1.00,2.00,0.00,7.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,12.00,15.00,1.00,0.00
,dcf82475-a96a-461b-9d8f-211a49adeca7,5494,8,Anton,Auto = 0. Speed = 3. Efficiency = 3. Defense = 3. ,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,9.00
,7378c662-877c-4f18-ba40-fc2beca07559,5494,14,DAB,Had three notes in bot after auto.  scary bot hang.,0.00,1.00,0.00,5.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,12.00,3.00,0.00
,8b4830e1-50fc-42b8-80af-cb1380489f46,5494,20,Gabber,Quick climb,1.00,1.00,0.00,7.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,14.00,3.00,0.00
,8ee89ddb-c030-4d38-a677-128f59836018,5494,25,Gabber,Like 2 second climb,1.00,2.00,0.00,2.00,4.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,12.00,8.00,4.00,0.00
,5acf48bb-73ed-40ba-a62d-6ebd6be56f77,5494,31,Zander,"Would've been hanging, but their intake was touching the ground",0.00,1.00,0.00,6.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,13.00,1.00,0.00
,b1353b71-18f3-42f7-8f06-7c43448d4e0b,5494,38,terri,"Scary hang, upside down, added note: outlier match(fed by 6161)",0.00,3.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,20.00,0.00,0.00
,95c2f316-732b-4282-bfbd-2c5df062810d,5494,43,Nicholas,violent climb. Can go under the chain. swerve. ,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00
,eb5a6b65-31ae-4632-beeb-47da17f7036c,5494,49,Jean,,1.00,2.00,0.00,8.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,12.00,16.00,3.00,0.00
,c972d454-e882-41ba-ba08-d2a97ad013af,5813,4,rackel,"Shooting across, to get pieces closer, trap",1.00,4.00,0.00,3.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,22.00,7.00,8.00,0.00
,eaea7677-9983-4ee4-bdeb-6ca5c488d4df,5813,10,Joyce,Can go under the chain. ,1.00,4.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,10.00,0.00,0.00
,113a080c-e787-4491-ac6e-b44cf5cb5142,5813,13,terri,"Missed several shots into speaker, had two notes briefly.",1.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,4.00,1.00,0.00
,07970fe9-b71f-4a98-812b-d6f188e4c030,5813,23,Gabber,My vote for first pick,1.00,3.00,0.00,5.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,17.00,13.00,3.00,0.00
,397c411b-73b5-4d9f-8990-aa0e9661b83b,5813,27,DAB,Trouble picking up notes.,1.00,4.00,0.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,22.00,6.00,3.00,0.00
