Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Leave,Auto_Speaker,Auto_Amp,Tele_Speaker,Tele_Amp,Tele_Amped_Speaker,Tele_Coop,Endgame_Parked,Endgame_OnStage,Endgame_Harmony,Endgame_Spotlit,Endgame_Trap,Auto_Points,Tele_Points,Endgame_Points,ScoutScore
,14641fde-d427-469b-a8ae-bc449007e9c3,999,9,terri,Can go under the chain. ,0.00,0.00,0.00,5.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,12.00,1.00,0.00
,91f5b9fe-715a-4642-9031-812e33c254e8,999,18,terri,,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00
,305ba729-6960-407e-9b11-909d6869d972,999,32,DAB,"I kept losing the bot, so in sure I missed scores. fast and accurate shooting.",1.00,1.00,0.00,3.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,7.00,7.00,1.00,0.00
,60e4469e-4090-4440-a934-b78a2c3b750a,999,37,anton,Speed = 4. Efficiency = 5. Accuracy = 4. Can hang on chain. Can go under the chain. ,1.00,4.00,0.00,3.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,22.00,8.00,3.00,13.00
,b50ca586-1961-47ed-99dc-64b57d73b5cf,999,43,Nicholas,"Fast cycles, but has an affinity to running into the stage at full speed.",1.00,3.00,0.00,6.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,13.00,0.00,0.00
,553f9638-e290-4ebe-8463-f61fdfbfa6cb,999,55,Chase,,1.00,3.00,0.00,2.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,17.00,11.00,0.00,0.00
,a790c36e-ef54-4204-a789-2e099ee72e13,999,62,GABE,"Might not be perfect, there was a lot of people.out front and I lost track every now and then",1.00,3.00,0.00,2.00,4.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,17.00,18.00,4.00,0.00
,c7951b92-0155-495a-ba57-b0ae64a1f56c,999,71,Chase,,1.00,3.00,0.00,1.00,3.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,17.00,15.00,1.00,0.00
,8af7a106-22cb-486f-ad92-34a3ccb751bf,999,78,rachel,Fast amp scoring,1.00,2.00,0.00,3.00,6.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,12.00,12.00,5.00,0.00
,d98337fe-4d0a-42ce-97be-36d8e6ea2e28,999,87,terri,,0.00,2.00,0.00,3.00,4.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,10.00,10.00,5.00,0.00
,66145aa6-edcc-470a-ae37-f9513d59179e,999,94,terri,Robot was sluggish like it needed a new battery. fell off of chain when doing harmony,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,1.00,0.00
,1f155bd9-a7f9-4032-89a9-d43d84d905b3,1058,6,GABE,Very good,1.00,2.00,0.00,5.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,12.00,22.00,3.00,0.00
,0bbacc1e-6654-4f98-b2c0-d6d5d3e87e2e,1058,15,Nicholas,"Similar climb to the scary one from last time, but much gentler. slow cycles, but missed rarely.",1.00,4.00,0.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,10.00,0.00,0.00
,eec19a2f-09a9-411a-af07-fa241e152e17,1058,22,GABE,Did very good shots and their teammate had a triple trap,1.00,2.00,0.00,4.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,12.00,11.00,3.00,0.00
,fac9168c-3b38-46f4-869a-71dc49f10dc2,1058,32,Ash,Auto = 3. Speed = 4. Accuracy = 5. Can hang on chain. ,1.00,0.00,0.00,3.00,5.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,2.00,11.00,4.00,12.00
,e6a13f29-b69f-4e43-8dc7-a56429c36470,1058,39,Anton,Auto = 2. Speed = 4. Accuracy = 2. Defense = 1. Can hang on chain. Scary chain. Tech foul. Aggressive. ,1.00,1.00,0.00,4.00,3.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,7.00,11.00,5.00,9.00
,19729fe8-c202-4df6-8e05-3542a7c84cec,1058,45,Joyce,"Stopped moving, but parked before hand.",0.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,10.00,1.00,1.00,0.00
,05c68648-3f82-468d-9413-cf7b0c5ac67d,1058,55,ash,Speed = 4. Efficiency = 3. Accuracy = 4. ,1.00,1.00,0.00,3.00,4.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,7.00,10.00,5.00,11.00
,031861c8-3195-4c18-83ec-291ee911f1b9,1058,61,Anton,Auto = 2. Efficiency = 4. Speed = 5. Stability = 4. Accuracy = 5. Can hang on chain. Can go under the chain. Aggressive. Tech foul. ,1.00,0.00,0.00,2.00,3.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,2.00,7.00,3.00,20.00
,3cd5e3b1-5f10-43e6-bf81-e6207c2b7b2e,1058,67,Ash,Auto = 3. Efficiency = 4. Accuracy = 4. Defense = 4. Can hang on chain. ,1.00,2.00,0.00,4.00,3.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,12.00,11.00,5.00,18.00
,376119a8-3b57-4acd-8624-d8dd4fb4b9ce,1058,77,anton,Auto = 3. Efficiency = 4. Stability = 2. Can hang on chain. ,1.00,2.00,0.00,4.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,12.00,11.00,3.00,9.00
,145132bf-3b2c-484c-abc3-80d69d799558,1058,82,Zander,Had a note stuck in their robot until the end of the match,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,1.00,0.00,0.00
,3d33c99a-7aba-4e7a-a259-43cdad0f590f,1058,96,terri,Much faster and more accurate than prev matches,0.00,4.00,0.00,2.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,20.00,8.00,3.00,0.00
,02be2762-efdf-4e21-a802-df847617b427,1071,4,Nicholas,"Swerve. can climb. amp only. auto exists, but only barely.",0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00
